,id,description,title,lang,url,banner,capacity,starting_at,ending_at,status,event_type_id,host,venue_id,excerpt,academy_id,eventbrite_id,eventbrite_status,eventbrite_url,published_at,eventbrite_sync_description,eventbrite_sync_status,online_event,sync_with_eventbrite,currency,slug,tags,live_stream_url,host_user_id,free_for_bootcamps,uuid,free_for_all,asset_slug,is_public
92,252,Skyrocket your career in tech!,Career Week 2022!,,https://www.eventbrite.com/e/career-week-2022-tickets-241152733317,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F208965839%2F187450375408%2F1%2Foriginal.20220107-145003?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=2981882f312572abc5826e87cc7c5943,60,2022-01-17 23:00:00+00:00,2022-01-21 00:00:00+00:00,COMPLETED,,,,Skyrocket your career in tech!,4.0,241152733317.0,completed,https://www.eventbrite.com/e/career-week-2022-tickets-241152733317,2022-01-07 15:27:59+00:00,2022-01-21 09:21:44.519116+00:00,PERSISTED,True,False,USD,,,,,,133de59c-a986-45d5-bece-467adcbbd853,False,,True
93,552,¡Te esperamos el próximo 8 de febrero!,Cómo manejar la frustración en el mundo de la programación,es,https://www.eventbrite.com/e/como-manejar-la-frustracion-en-el-mundo-de-la-programacion-tickets-516768166497,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F431990039%2F187450375408%2F1%2Foriginal.20230125-152734?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1024%2C512&s=38677d19b1a1b1440e2564099347d195,130,2023-02-08 21:00:00+00:00,2023-02-08 23:00:00+00:00,COMPLETED,22.0,Janeth Kalaouz,,¡Te esperamos el próximo 8 de febrero!,2.0,516768166497.0,completed,https://www.eventbrite.com/e/entradas-como-manejar-la-frustracion-en-el-mundo-de-la-programacion-516768166497,2023-01-16 15:45:21+00:00,2023-02-09 13:50:27.301006+00:00,PERSISTED,True,True,USD,como-manejar-la-frustracion-en-el-mundo-de-la-programacion,"career-support-attendee,fs-event-attendee",,,,26b54440-97d5-4452-ae8e-77320020763a,False,,True
94,991,"No te pierdas esta oportunidad de conocer todos los detalles de nuestro nuevo bootcamp en español, directamente de nuestro CEO, Marcelo Ricigliano ¡Es el único en EEUU diseñado especialmente para hispanohablantes!

¡Te esperamos online para contarte cómo puedes convertirte en programador con nosotros! (El evento será en español)

¡Regístrate ya!",Aprende a programar en español en EE. UU. con 4Geeks Academy,en,,https://storage.googleapis.com/media-breathecode/2c965bdef1d458b97d1f2ec35f9707d6add829adeee0a3ddf914ca412fc33498,100,2024-02-15 22:00:00+00:00,2024-02-16 00:00:00+00:00,DRAFT,31.0,,,¡Programa tu historia!,4.0,821145096087.0,,,,2024-02-03 07:30:59.733925+00:00,SYNCHED,True,True,USD,aprende-a-programar-en-espanol-en-eeuu-con-4geeks-academy,"openhouse-attendee,career-support-attendee",https://www.youtube.com/watch?v=ALvM0-9GZgk&ab_channel=4GeeksAcademy,1454.0,True,74278057-125b-4f0c-b8ea-16836dbc3699,True,,True
95,410,Únete a este evento para darte las herramientas y estrategias necesarias para que puedas manejar el estrés de la mejor manera,5 Claves para afrontar una entrevista laboral en inglés,es,https://www.eventbrite.com/e/5-claves-para-afrontar-una-entrevista-laboral-en-ingles-tickets-356644642727,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F296773039%2F187450375408%2F1%2Foriginal.20220603-170724?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C6480%2C3240&s=56773fc6b0624043feb1b2a13091e457,500,2022-06-16 22:00:00+00:00,2022-06-16 23:00:00+00:00,COMPLETED,,4Geeks Academy Chile,,Únete a este evento para darte las herramientas y estrategias necesarias para que puedas manejar el estrés de la mejor manera,5.0,356644642727.0,completed,https://www.eventbrite.com/e/5-claves-para-afrontar-una-entrevista-laboral-en-ingles-tickets-356644642727,2022-06-03 17:56:01+00:00,2022-06-17 12:06:55.054303+00:00,PERSISTED,True,True,USD,5-claves-para-afrontar-una-entrevista-laboral-en-ingles,"fs-event-attendee,career-support-attendee",,,,d9dd3c7c-540a-4f70-8b17-965de8339734,False,,True
96,595,Join us on February 28!,Create a TodoList using VANILLA JS,en,https://www.eventbrite.com/e/todolist-with-vanilla-js-tickets-541777901287,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F448780969%2F187450375408%2F1%2Foriginal.20230217-164832?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C3240%2C1620&s=c277660c7f517fcaf7ef8c602b022d3e,50,2023-02-28 23:00:00+00:00,2023-03-01 00:00:00+00:00,COMPLETED,7.0,Brent Solomon,,Join us on February 28!,4.0,541777901287.0,completed,https://www.eventbrite.com/e/create-a-todolist-using-vanilla-js-tickets-541777901287,2023-02-09 21:00:50+00:00,2023-03-01 09:57:22.545231+00:00,PERSISTED,True,True,USD,create-a-todolist-using-vanilla-js,"tech-javascript,tech-frontend",https://www.youtube.com/watch?v=LC0Er_dDDO0,,,5e89b35b-36b9-41de-a081-d75daabcdfc0,False,,True
97,339,Descripción,GEEKTALKS - DEMODAY - PRESENTACIÓN DE PROYECTOS FINALES,,https://www.eventbrite.com/e/geektalks-demoday-presentacion-de-proyectos-finales-tickets-301304779707,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F250079019%2F400512721347%2F1%2Foriginal.20220318-121957?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&s=88e07feed86cfe45ba1a2860e4563d71,200,2022-03-30 16:30:00+00:00,2022-03-30 18:00:00+00:00,COMPLETED,,,,Descripción,6.0,301304779707.0,completed,https://www.eventbrite.com/e/geektalks-demoday-presentacion-de-proyectos-finales-tickets-301304779707,2022-03-22 09:00:18+00:00,2022-03-31 04:02:33.355241+00:00,PERSISTED,True,True,USD,,,,,,41b29194-f853-429f-abc1-8df8b873b1be,False,,True
98,601,¡Descubre todo lo que puedes aprender como estudiante de 4Geeks Academy España!,GeekTALKS - Demo de Proyectos Finales España,es,https://www.eventbrite.com/e/geektalks-demo-de-proyectos-finales-espana-tickets-558738380537,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F467581099%2F187450375408%2F1%2Foriginal.20230313-150511?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=7012c15f492fa43fa05cf7d4f9917cae,50,2023-03-16 18:00:00+00:00,2023-03-16 20:00:00+00:00,COMPLETED,29.0,Victor Gómez,,¡Descubre todo lo que puedes aprender como estudiante de 4Geeks Academy España!,6.0,558738380537.0,completed,https://www.eventbrite.com/e/entradas-geektalks-demo-de-proyectos-finales-espana-558738380537,2023-02-22 14:32:22+00:00,2023-03-17 08:59:01.102015+00:00,PERSISTED,True,True,USD,geektalks-demo-de-proyectos-finales-espana,"openhouse-attendee,geektalk-attendee",https://www.youtube.com/watch?v=rat8XB_xP1g,,,0c6d8d78-88b9-4ee4-9c36-62bd16b34732,False,,True
99,268,Invierte en tu futuro: Conviértete en un Desarrollador Full-Stack con 4Geeks Academy,Info Session: Transforma tu carrera aprendiendo a programar,,https://www.eventbrite.com/e/info-session-transforma-tu-carrera-aprendiendo-a-programar-tickets-269818122267,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F230496989%2F187450375408%2F1%2Foriginal.20220215-183129?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=594743414edfe4acecd27a583105bc01,100,2022-02-24 22:00:00+00:00,2022-02-24 23:00:00+00:00,COMPLETED,,,,Invierte en tu futuro: Conviértete en un Desarrollador Full-Stack con 4Geeks Academy,7.0,269818122267.0,completed,https://www.eventbrite.com/e/info-session-transforma-tu-carrera-aprendiendo-a-programar-tickets-269818122267,2022-02-15 18:46:56+00:00,2022-02-25 13:04:33.885540+00:00,PERSISTED,True,False,USD,,,,,,7f88570d-514d-4c92-8584-6ed5049c52e6,False,,True
100,260,¡Eleva tu carrera como programador aprendiendo  HTML! ,¡Aprende de HTML de cero! Intro-Session,,https://www.eventbrite.com/e/aprende-de-html-de-cero-intro-session-tickets-243823090427,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F211343479%2F187450375408%2F1%2Foriginal.20220112-162748?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1080%2C540&s=63c6ff8f340acd787ed661368ffcb930,300,2022-02-03 22:00:00+00:00,2022-02-04 00:00:00+00:00,COMPLETED,,,,¡Eleva tu carrera como programador aprendiendo  HTML! ,7.0,243823090427.0,completed,https://www.eventbrite.com/e/aprende-de-html-de-cero-intro-session-tickets-243823090427,2022-01-12 16:35:14+00:00,2022-02-04 13:42:15.581545+00:00,PERSISTED,True,False,USD,,,,,,d7159054-1076-411a-88c3-3e9b624c503b,False,,True
101,628,¡Te esperamos el 18 de mayo!,Dominando Visual Studio Code: Trabajando con repositorios locales,es,https://www.eventbrite.com/e/dominando-visual-studio-code-trabajando-con-repositorios-locales-tickets-622776179317,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F498419459%2F187450375408%2F1%2Foriginal.20230421-223504?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=d1006408fc90af41a9ada9453681c452,100,2023-05-19 00:00:00+00:00,2023-05-19 01:00:00+00:00,COMPLETED,26.0,Arnaldo Pérez,,¡Te esperamos el 18 de mayo!,7.0,622776179317.0,completed,https://www.eventbrite.com/e/entradas-dominando-visual-studio-code-trabajando-con-repositorios-locales-622776179317,2023-04-21 22:40:47+00:00,2023-05-19 12:31:57.293926+00:00,PERSISTED,True,True,USD,dominando-visual-studio-code-trabajando-con-repositorios-locales,"openhouse-attendee,fs-event-attendee",https://bluejeans.com/668786553/9347,,,1889adfa-4e3c-421d-8557-b868ea1e5f9e,False,,True
